colonial,modern,kind,pattern,sightings,evidence,post_title,post_date,post_url
"rue Catinat","Đồng Khởi street","street","X (now Y)","5","ileged expat world of the city centre, and in particular on rue Catinat (modern Đồng Khởi street), still at that time the epitome of colonial chic . Greene i","Graham Greene’s Saigon","2014-01-16","https://www.historicvietnam.com/graham-greenes-saigon-revisited/"
"boulevard Charner","Nguyễn Huệ boulevard","street","X (now Y)","4","""1500""] A buffalo cart stands in front of the old market on boulevard Charner (now Nguyễn Huệ boulevard)[/caption] In March 1882, Arthur Delteil, retired Chief Phar","Saigon Through the Eyes of Early Travellers – Arthur Delteil in 1882, Part 3","2014-12-05","https://www.historicvietnam.com/arthur-delteil-in-1882-part-3/"
"rue Nationale","Hai Bà Trưng street","street","X (now Y)","4","ient (EFEO), was founded, with its headquarters on Saigon’s rue Nationale (now Hai Bà Trưng street). In 1900 this organisation opened a second museum at 140 ru","Saigon’s Earliest Museums","2014-06-06","https://www.historicvietnam.com/saigons-earliest-museums/"
"rue Turc","Hồ Huấn Nghiệp","unclear","X (now Y)","3",""" align=""alignright"" width=""300""] The Hotel de l’Univers on rue Turc (now Hồ Huấn Nghiệp)[/caption] At the Hotel de l’Univers [on rue Turc, now Hồ Hu","Saigon Through the Eyes of Early Travellers – Louise Bourbonnaud in 1888, Part 1","2014-07-25","https://www.historicvietnam.com/louise-bourbonnaud-part-1/"
"boulevard Galliéni","606 Trần Hưng Đạo","address","X (now Y)","2","ported the inauguration of its brand new headquarters at 96 boulevard Galliéni (now 606 Trần Hưng Đạo). The building was later described as ""superb,"" with ""magnif","American War Vestiges in Saigon – 606 Tran Hung Dao","2014-01-23","https://www.historicvietnam.com/606-tran-hung-dao/"
"place Eugène Cuniac","Quách Thị Trang square","street","X (now Y)","2","ré to be extended westward into a spacious new square named place Eugène Cuniac (now Quách Thị Trang square), where a grand southern headquarters for the Chemins de fer","The Changing Faces of Sai Gon Railway Station, 1885-1983","2013-12-19","https://www.historicvietnam.com/saigon-railway-station/"
"place Maréchal Joffre","Turtle Lake","unclear","X (now Y)","2","s Études Indochinoises opened a second exhibition hall at 2 place Maréchal Joffre (now Turtle Lake), where the Holbé collection was housed temporarily under th","Saigon’s Earliest Museums","2014-06-06","https://www.historicvietnam.com/saigons-earliest-museums/"
"quai de la Distillerie","27 Phan Văn Khỏe","address","X (now Y)","2","all, one of Chợ Lớn’s most elegant Minh Hương temples at 27 quai de la Distillerie (now 27 Phan Văn Khỏe). His sons would later continue to make regular donations to","Dinner with “Tong Doc” Do Huu Phuong","2014-05-17","https://www.historicvietnam.com/dinner-with-the-tong-doc/"
"quai de My-tho and rue de Binh-Tay","Võ Văn Kiệt-Bình Tây","unclear","X (now Y)","2","h stood right next to the arroyo Chinois on the junction of quai de My-tho and rue de Binh-Tay (modern Võ Văn Kiệt-Bình Tây). In 1893 a new waterway known as the Canal Bonard (original","Quach Dam – Cho Lon’s “King of Commerce”","2014-06-01","https://www.historicvietnam.com/quach-dam/"
"route stratégique or High Road","Trần Phú and Nguyễn Thị Minh Khai streets","unclear","X (now Y)","2","""alignnone"" width=""1500""] A pousse-pousse travelling on the route stratégique or “High Road” (modern Trần Phú and Nguyễn Thị Minh Khai streets)[/caption] This article was published previously in Saigonee","The Tour de l’Inspection","2014-09-30","https://www.historicvietnam.com/tour-dinspection/"
"rue Catinat entrance to the Catinat-Ciné","Art Arcade at 151 Đồng Khởi","unclear","X (now Y)","2","d=""attachment_9228"" align=""alignright"" width=""165""] The 151 rue Catinat entrance to the Catinat-Ciné (now the Art Arcade at 151 Đồng Khởi), pictured in the late colonial period[/caption] The redevel","Date with the Wrecking Ball - The Catinat-Cine Mosaics","2016-02-27","https://www.historicvietnam.com/catinat-cine-mosaics/"
"rue d’Adran","Hồ Tùng Mậu street","street","X (now Y)","2","ight spur which branched west from the station throat along rue d’Adran (now Hồ Tùng Mậu street) to connect with Sài Gòn docks via the pont tournant (Khánh","The Changing Faces of Sai Gon Railway Station, 1885-1983","2013-12-19","https://www.historicvietnam.com/saigon-railway-station/"
"rue de Canton","Hàm Nghi boulevard","street","X (now Y)","2","terminus of the Saigon-Mỹ Tho line at the riverside end of rue de Canton (modern Hàm Nghi boulevard) would serve both lines. However, when the first northbound","Old Saigon Building of the Week – Vietnam Railways Building, 1914","2014-06-02","https://www.historicvietnam.com/vietnam-railways-building/"
"rue de La Grandière","Lý Tự Trọng street","street","X, now Y","2","rm accommodation of the Maison centrale (Central Prison) on rue de La Grandière, now Lý Tự Trọng street. Located so close to the Cathedral, Bót Catinat was describ","Date with the Wrecking Ball – Former Bot Catinat, 164 Dong Khoi, 1933","2014-06-09","https://www.historicvietnam.com/bot-catinat/"
"rue de Lagrandière","159-161 Lý Tự Trọng","address","X (now Y)","2","ght"" width=""300""] The Government Secretariat compound at 27 rue de Lagrandière (now 159-161 Lý Tự Trọng) where the library was once housed[/caption] The origins of","Old Saigon Building of the Week – Ho Chi Minh City General Sciences Library, 1970","2014-09-15","https://www.historicvietnam.com/general-sciences-library/"
"rue des Artisans in Chợ Lớn","Tản Đà Hotel at","building","X, now Y","2","terior shots of Fowler’s Saigon apartment were filmed at 22 rue des Artisans in Chợ Lớn, now the Tản Đà Hotel at 22 Phạm Đôn, District 5. Many of the movie’s Tết crowd scen","Saigon on the Silver Screen – The Quiet American, 1958 and 2002","2014-02-24","https://www.historicvietnam.com/the-quiet-american-films-1958-2002/"
"rue Mac-Mahon","Nam Kỳ Khởi Nghĩa street","street","X, now Y","2","of Cochinchine, Gustave Eiffel opened an office on Saïgon’s rue Mac-Mahon, now Nam Kỳ Khởi Nghĩa street. In subsequent years his company made a name for itself by","Old Saigon Building of the Week – Eiffel's Pont des Messageries Maritimes, 1882","2014-01-15","https://www.historicvietnam.com/the-rainbow-bridge-a-true-eiffel-classic/"
"avenue de l'église de Choquan","Trần Bình Trọng street","street","X (now Y)","1","cial of the colonial administration who lived on the nearby avenue de l'église de Choquan (modern Trần Bình Trọng street). Today he is remembered principally for his book Học Tập Qu","Old Saigon Building of the Week – Trinh Khanh Tan Mausoleum, 1914","2014-05-12","https://www.historicvietnam.com/trinh-khanh-tan-mausoleum/"
